timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1585937657299,1034,DELETE URL,200,OK,Thread Group 1-5,text,true,,12694,376,12,12,http://rss-kantkowi-nodejs.azurewebsites.net/,345,0,83
1585937657299,345,DELETE URL-0,302,Found,Thread Group 1-5,text,true,,193,234,12,12,http://rss-kantkowi-nodejs.azurewebsites.net/delete,345,0,83
1585937657644,689,DELETE URL-1,200,OK,Thread Group 1-5,text,true,,12501,142,12,12,http://rss-kantkowi-nodejs.azurewebsites.net/,689,0,0
1585937657765,1946,DELETE URL,200,OK,Thread Group 1-2,text,true,,12694,376,14,14,http://rss-kantkowi-nodejs.azurewebsites.net/,281,0,0
1585937657765,281,DELETE URL-0,302,Found,Thread Group 1-2,text,true,,193,234,14,14,http://rss-kantkowi-nodejs.azurewebsites.net/delete,281,0,0
1585937658046,1665,DELETE URL-1,200,OK,Thread Group 1-2,text,true,,12501,142,14,14,http://rss-kantkowi-nodejs.azurewebsites.net/,1665,0,0
1585937658082,2418,POST send,200,OK,Thread Group 1-7,text,true,,12694,372,15,15,http://rss-kantkowi-nodejs.azurewebsites.net/,1640,0,0
1585937658082,1640,POST send-0,302,Found,Thread Group 1-7,text,true,,193,230,15,15,http://rss-kantkowi-nodejs.azurewebsites.net/send,1640,0,0
1585937659724,776,POST send-1,200,OK,Thread Group 1-7,text,true,,12501,142,15,15,http://rss-kantkowi-nodejs.azurewebsites.net/,776,0,71
1585937660432,950,GET,200,OK,Thread Group 1-15,text,true,,12501,142,15,15,http://rss-kantkowi-nodejs.azurewebsites.net/,950,0,102
1585937660501,938,DELETE URL,200,OK,Thread Group 1-7,text,true,,12694,376,16,16,http://rss-kantkowi-nodejs.azurewebsites.net/,248,0,0
1585937660501,249,DELETE URL-0,302,Found,Thread Group 1-7,text,true,,193,234,16,16,http://rss-kantkowi-nodejs.azurewebsites.net/delete,248,0,0
1585937660750,689,DELETE URL-1,200,OK,Thread Group 1-7,text,true,,12501,142,16,16,http://rss-kantkowi-nodejs.azurewebsites.net/,689,0,0
1585937661441,747,GET,200,OK,Thread Group 1-7,text,true,,12501,142,16,16,http://rss-kantkowi-nodejs.azurewebsites.net/,747,0,0
1585937661434,865,GET,200,OK,Thread Group 1-16,text,true,,12501,142,16,16,http://rss-kantkowi-nodejs.azurewebsites.net/,864,0,72
1585937661383,937,POST save,200,OK,Thread Group 1-15,text,true,,12694,437,16,16,http://rss-kantkowi-nodejs.azurewebsites.net/,127,0,0
1585937661383,127,POST save-0,302,Found,Thread Group 1-15,text,true,,193,295,16,16,http://rss-kantkowi-nodejs.azurewebsites.net/save,127,0,0
1585937661511,809,POST save-1,200,OK,Thread Group 1-15,text,true,,12501,142,16,16,http://rss-kantkowi-nodejs.azurewebsites.net/,809,0,0
1585937656999,5710,POST send,200,OK,Thread Group 1-10,text,true,,12694,372,17,17,http://rss-kantkowi-nodejs.azurewebsites.net/,813,0,0
1585937656999,814,POST send-0,302,Found,Thread Group 1-10,text,true,,193,230,17,17,http://rss-kantkowi-nodejs.azurewebsites.net/send,813,0,0
1585937657813,4896,POST send-1,200,OK,Thread Group 1-10,text,true,,12501,142,17,17,http://rss-kantkowi-nodejs.azurewebsites.net/,4896,0,76
1585937659714,2998,GET,200,OK,Thread Group 1-2,text,true,,12501,142,17,17,http://rss-kantkowi-nodejs.azurewebsites.net/,2998,0,75
1585937656886,5845,POST send,200,OK,Thread Group 1-1,text,true,,12694,372,17,17,http://rss-kantkowi-nodejs.azurewebsites.net/,830,0,0
1585937656886,830,POST send-0,302,Found,Thread Group 1-1,text,true,,193,230,17,17,http://rss-kantkowi-nodejs.azurewebsites.net/send,830,0,0
1585937657716,5015,POST send-1,200,OK,Thread Group 1-1,text,true,,12501,142,17,17,http://rss-kantkowi-nodejs.azurewebsites.net/,5015,0,72
1585937658120,4616,POST save,200,OK,Thread Group 1-6,text,true,,12694,437,17,17,http://rss-kantkowi-nodejs.azurewebsites.net/,204,0,76
1585937658120,204,POST save-0,302,Found,Thread Group 1-6,text,true,,193,295,17,17,http://rss-kantkowi-nodejs.azurewebsites.net/save,204,0,76
1585937658324,4412,POST save-1,200,OK,Thread Group 1-6,text,true,,12501,142,17,17,http://rss-kantkowi-nodejs.azurewebsites.net/,4412,0,0
1585937658333,4408,GET,200,OK,Thread Group 1-5,text,true,,12501,142,17,17,http://rss-kantkowi-nodejs.azurewebsites.net/,4408,0,0
1585937657952,4795,DELETE URL,200,OK,Thread Group 1-3,text,true,,12694,376,17,17,http://rss-kantkowi-nodejs.azurewebsites.net/,256,0,0
1585937657952,256,DELETE URL-0,302,Found,Thread Group 1-3,text,true,,193,234,17,17,http://rss-kantkowi-nodejs.azurewebsites.net/delete,256,0,0
1585937658209,4538,DELETE URL-1,200,OK,Thread Group 1-3,text,true,,12501,142,17,17,http://rss-kantkowi-nodejs.azurewebsites.net/,4538,0,0
